Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
417,Benny Snell Jr.,PIT,24,RB,14,0,2,2,100.0%,17,8.5,0,1,11,8.5,0.1,1.2,0,SnelBe00
418,Stephen Sullivan,CAR,26,TE,11,0,4,2,50.0%,46,23.0,0,2,33,11.5,0.2,4.2,0,SullSt00
419,Mike Thomas,CIN,28,WR,10,2,10,2,20.0%,38,19.0,0,1,33,3.8,0.2,3.8,0,ThomMi04
420,Jalen Tolbert,DAL,23,WR,8,1,3,2,66.7%,12,6.0,0,0,8,4.0,0.3,1.5,0,TolbJa00
421,Austin Trammell,LAR,24,WR,3,0,4,2,50.0%,13,6.5,0,1,8,3.3,0.7,4.3,0,TramAu00
422,Cole Turner,WAS,22,TE,7,2,9,2,22.2%,23,11.5,0,1,18,2.6,0.3,3.3,0,TurnCo00
423,Jalen Virgil,DEN,24,WR,6,1,4,2,50.0%,75,37.5,1,2,66,18.8,0.3,12.5,1,VirgJa00
424,Nsimba Webster,CHI,26,WR,1,0,3,2,66.7%,14,7.0,0,1,8,4.7,2.0,14.0,1,WebsNs00
425,Trevon Wesco,CHI,27,TE,12,1,4,2,50.0%,26,13.0,0,1,23,6.5,0.2,2.2,0,WescTr00
426,Kevin White,NOR,30,WR,7,2,5,2,40.0%,74,37.0,0,2,64,14.8,0.3,10.6,0,WhitKe00
427,Trayveon Williams,CIN,25,RB,6,0,3,2,66.7%,30,15.0,0,1,24,10.0,0.3,5.0,0,WillTr06
428,Maurice Alexander,DET,25,WR,7,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.1,1.0,0,AlexMa02
429,C.J. Board,TEN,29,WR,4,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.3,1.5,1,BoarC.00
430,Jalen Camp,HOU,24,WR,2,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.5,3.5,0,CampJa03
431,Keke Coutee,IND,25,WR,6,0,1,1,100.0%,20,20.0,0,0,20,20.0,0.2,3.3,3,CoutKe00
432,Darrynton Evans,CHI,24,RB,5,0,1,1,100.0%,33,33.0,0,1,33,33.0,0.2,6.6,0,EvanDa02
433,Royce Freeman,HOU,26,RB,1,0,1,1,100.0%,5,5.0,0,0,5,5.0,1.0,5.0,0,FreeRo00
434,Jake Gervase,LAR,27,LB,14,0,1,1,100.0%,12,12.0,0,1,12,12.0,0.1,0.9,0,GervJa00
435,Jared Goff,DET,28,QB,14,14,1,1,100.0%,5,5.0,0,0,5,5.0,0.1,0.4,5,GoffJa00
436,Danny Gray,SFO,23,WR,10,0,7,1,14.3%,10,10.0,0,1,10,1.4,0.1,1.0,0,GrayDa02
437,Jacob Harris,LAR,25,WR,7,0,1,1,100.0%,6,6.0,0,1,6,6.0,0.1,0.9,0,HarrJa03
438,David Johnson,NOR,31,RB,2,0,1,1,100.0%,11,11.0,0,1,11,11.0,0.5,5.5,1,JohnDa08
439,Tyron Johnson,2TM,26,WR,4,1,1,1,100.0%,8,8.0,0,0,8,8.0,0.3,2.0,0,JohnTy03
440,Ronald Jones II,KAN,25,RB,3,0,1,1,100.0%,22,22.0,0,1,22,22.0,0.3,7.3,0,JoneRo01
441,Mason Kinsey,TEN,24,WR,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,1,KinsMa00
442,Racey McMath,TEN,23,WR,2,0,6,1,16.7%,1,1.0,0,0,1,0.2,0.5,0.5,0,McMaRa00
443,Jason Moore,LAC,27,WR,6,0,2,1,50.0%,5,5.0,0,0,5,2.5,0.2,0.8,0,MoorJa02
444,Kene Nwangwu,MIN,24,RB,14,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.1,0.4,0,NwanKe00
445,Devine Ozigbo,DEN,26,RB,4,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.3,0.8,0,OzigDe01
446,Richard Rodgers,LAC,30,TE,10,1,4,1,25.0%,4,4.0,0,0,4,1.0,0.1,0.4,0,RodgRi00
447,Penei Sewell,DET,22,T,14,14,1,1,100.0%,9,9.0,0,1,9,9.0,0.1,0.6,0,SewePe00
448,Keith Smith,ATL,30,FB,14,4,2,1,50.0%,8,8.0,0,0,8,4.0,0.1,0.6,0,SmitKe03
449,Ihmir Smith-Marsette,2TM,23,,7,0,4,1,25.0%,15,15.0,0,0,15,3.8,0.1,2.1,1,SmitIh00
450,Freddie Swain,2TM,24,,2,1,1,1,100.0%,9,9.0,0,1,9,9.0,0.5,4.5,0,SwaiFr00
451,Tommy Sweeney,BUF,27,TE,5,0,1,1,100.0%,7,7.0,0,1,7,7.0,0.2,1.4,0,SweeTo00
452,J.J. Taylor,NWE,24,RB,1,0,1,1,100.0%,8,8.0,0,0,8,8.0,1.0,8.0,0,TaylJJ01
453,Deven Thompkins,TAM,23,WR,2,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.5,3.5,1,ThomDe07
454,Laquon Treadwell,SEA,27,WR,3,0,1,1,100.0%,1,1.0,0,0,1,1.0,0.3,0.3,0,TreaLa00
455,KaVontae Turpin*,DAL,26,WR,14,0,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.6,2,TurpKa00
456,Ke'Shawn Vaughn,TAM,25,RB,12,0,2,1,50.0%,11,11.0,0,1,11,5.5,0.1,0.9,0,VaugKe00
457,Dwayne Washington,NOR,28,RB,12,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.1,0.6,0,WashDw00
458,Cody White,PIT,24,WR,1,1,1,1,100.0%,2,2.0,0,0,2,2.0,1.0,2.0,0,WhitCo05
459,Jameson Williams,DET,21,WR,3,0,4,1,25.0%,41,41.0,1,1,41,10.3,0.3,13.7,0,WillJa11
460,Russell Wilson,DEN,34,QB,12,12,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,5,WilsRu00
461,Zach Wilson,NYJ,23,QB,9,9,1,1,100.0%,2,2.0,1,1,2,2.0,0.1,0.2,1,WilsZa00
462,Juwann Winfree,GNB,26,WR,3,0,4,1,25.0%,17,17.0,0,1,17,4.3,0.3,5.7,0,WinfJu00
463,Bailey Zappe,NWE,23,QB,4,2,1,1,100.0%,-6,-6.0,0,0,-6,-6.0,0.3,-1.5,4,ZappBa00
464,Devin Asiasi,CIN,25,TE,11,0,2,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,AsiaDe00
465,David Bakhtiari,GNB,31,T,9,9,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,BakhDa00
466,Khari Blasingame,CHI,26,FB,13,5,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,BlasKh00
467,Tom Brady,TAM,45,QB,14,14,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,5,BradTo00
468,John Brown,BUF,32,WR,2,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,BrowJo02
469,Jason Cabinda,DET,26,FB,6,2,3,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,CabiJa00
470,Tanner Conner,MIA,24,TE,13,0,3,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,ConnTa00
471,Tyrion Davis-Price,SFO,22,RB,3,0,2,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,DaviTy03
472,Gus Edwards,BAL,27,RB,6,3,2,0,0.0%,0,,0,0,0,0.0,0.0,0.0,1,EdwaGu00
473,Miller Forristall,CLE,24,TE,4,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,ForrMi00
474,Feleipe Franks,ATL,25,TE,10,1,2,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,FranFe00
475,Tanner Gentry,BUF,28,WR,3,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,GentTa00
476,Josh Gordon,TEN,31,WR,2,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,GordJo02
477,Lance McCutcheon,LAR,23,WR,7,1,4,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,McCuLa01
478,Stanley Morgan Jr.,CIN,26,WR,12,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,MorgSt02
479,Jeremy Ruckert,NYJ,22,TE,8,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,RuckJe00
480,Noah Togiai,PHI,25,TE,2,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,TogiNo00
481,Jake Tonges,CHI,23,TE,4,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,TongJa00
482,DJ Turner,LVR,25,WR,9,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,1,TurnDJ00
483,James Washington,DAL,26,WR,2,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,WashJa00
484,Charlie Woerner,SFO,25,TE,14,2,2,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,WoerCh00
